JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
157,72,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,600,1920,840,0.0,10200,6720.0,0,1,1,True,True
75,77,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,3000,3120,120,600.0,10560,6360.0,0,0,1,False,False
76,77,5,ICT_2,PRD,ICT_1- ICT_2,2880,3000,120,480.0,10440,6240.0,0,0,0,False,False
77,77,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,2160,2280,120,360.0,10320,6120.0,0,0,0,False,False
78,77,5,CA_5,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,2040,2160,120,240.0,10200,6000.0,0,0,0,False,False
79,77,5,SMD_3,PRD,SMD_1- SMD_2- SMD_3,1920,2040,120,120.0,10080,5880.0,0,0,0,False,False
80,77,5,LaserMarking_1,PRD,LaserMarking_1- LaserMarking_2,1680,1800,120,0.0,9384,5760.0,0,1,0,True,False
158,77,5,SA_2,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6600,6720,120,1440.0,10920,6720.0,0,1,1,False,True
159,77,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3360,3600,240,720.0,10680,6600.0,0,1,1,False,False
81,29,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,1920,2040,120,720.0,10320,6120.0,0,0,1,False,False
82,29,5,Selective_2,PRD,Selective_1- Selective_2- Selective_3,1680,1920,240,480.0,10080,6000.0,0,0,0,False,False
83,29,5,CA_9,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1440,1680,240,240.0,9120,5760.0,0,0,0,False,False
